Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
LALS 15	TruthJusticeStatistics	Emilia Maria Valenzuela Vergara	2021 Summer Quarter	2214	N		10	8	2	6	1		3			1		1	3	2						37
LALS 45	Race, Class, Gender	Ismael Fabricio Illescas	2021 Summer Quarter	2214	N	5	8	6	1	4	4	1							1							30
LALS 75	Art/Soc Change LatAm	Greg Landau	2021 Summer Quarter	2214	N	3	12	6	4	1		2						3	4	2						37
LALS 79	Hip Hop History	Lily Balloffet	2021 Summer Quarter	2214	N		17	7	10	7	7	5	1		1		2	8	15	3				3		86
LALS 133	Latina/o Art & Rep	Ismael Fabricio Illescas	2021 Summer Quarter	2214	N	2	6	4	1	2	1		1					1		1				1		20
LGST 10	Intro Legal Process	Anthony Lara Bencomo	2021 Summer Quarter	2214	N	4	12	11	10	7	2	1						2	1					1		51
LGST 105A	Ancient Pol Thought	Rowan Anna Powell	2021 Summer Quarter	2214	Y		2	2	6									1	3							14
LGST 111A	Constitutional Law	Eric Stephen Snickars	2021 Summer Quarter	2214	Y		6	6	5	4								2	3					1		27
LGST 111B	Civil Liberties	Eric Stephen Snickars	2021 Summer Quarter	2214	Y		3	4	3	4		2	1					1	1	2				2		23
LGST 116	Comparative Law	Jacqueline Susan Gehring	2021 Summer Quarter	2214	Y		6	8	7	6	4	1		1	1			1	3							38
LGST 120B	Democ Amer Pol Dev	Sasha Wasserstrom	2021 Summer Quarter	2214	Y	1	3	2			1							1	1					1		10
LGST 128I	Race and Law	Hiroshi Fukurai	2021 Summer Quarter	2214	Y	15	12	2	5	4									1							39
LGST 158	Law/Politics Memory	Jacqueline Susan Gehring	2021 Summer Quarter	2214	Y		11	4	1	2	2		1					3		2				1		27
LGST 185	Intern/Fld Seminar	Ryan Emmett Coonerty	2021 Summer Quarter	2214	N		7	1	2																	10
